"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
223,534,6.37804,0,2.37137,59.3523,9.3898
251,608,5.23318,0,7.63533,9.47497,12.0794
837,751,723.445,0,1.00007,1.1653,13.2167
907,1023,881.776,0,3.24911,1.74676,11.6534
885,1023,763.614,0,1.55406,1.91122,10.9427
863,817,421.771,0,3.22025,6.43681,16.7006
798,960,626.566,0,4.91471,3.22036,10.8455
846,847,1046.26,0,1.00025,2.18752,24.1501
441,72,67.336,0,5.99055,10.9442,10.2764
108,361,2.2883,0,4.53302,11.6559,6.79468
899,978,736.785,0,5.47564,5.67622,17.9498
751,790,820.788,0,1.00039,1.76304,28.9139
803,829,723.701,0,1.10447,2.01777,4.96017
902,1023,820.846,0,2.84004,1.00046,13.2219
489,97,11.3475,0,11.1452,3.71986,3.71986
767,772,474.254,0,9.5653,1.7953,8.20904
524,98,9.06309,0,6.4393,3.05225,10.8493
237,453,2.54983,0,6.67543,6.04659,19.2938
355,178,4.10731,0,5.939,4.21964,2.26853
352,109,7.37019,0,8.58786,858.786,6.15678
211,345,4.07082,0,1.27578,8.51126,1.74781
670,551,465.898,0,1.00074,1.09492,3.99838
857,768,698.372,0,1.14533,3.08048,4.70124
715,545,34.9399,407,1513.7,6.10251,35.2555
464,80,12.5321,0,9.06565,8.66698,3.52568
744,819,730.574,0,1.00088,1.00088,21.889
770,304,13.3475,434,1612.24,2.24885,124.208
872,953,578.272,0,10.0095,1.65639,11.4553
39,479,1299.3,825,2893.12,5144.78,9910.46
810,265,15.6948,342,1287.71,4.07211,207.42
385,80,5.78333,0,1.00106,11.56,1.00106
679,642,496.349,0,1.00109,5.05359,15.1413
777,867,429.836,0,2.33173,2.35279,8.43862
767,671,750.768,0,1.00116,8.8271,10.5668
897,845,661.962,0,1.0012,3.25267,12.313
41,516,1396.59,889,3137.83,5431.39,9910.46
840,253,22.295,572,2074.71,2.59785,299.995
908,1013,411.006,0,1.00131,5.38314,15.0089
759,627,698.766,0,1.78066,4.1102,22.0969
987,1023,692.534,0,22.2974,1.42214,25.0631
41,598,1335.4,890,3138.39,5383.71,9910.46
45,551,1265.29,805,2842.84,4920.78,9910.46
466,89,2.19022,0,4.49766,1.00148,15.987
762,622,379.126,0,1.46124,1.00152,10.7624
749,683,302.791,0,1.59882,1.42239,14.2239
720,366,16.279,271,1038.28,1.00159,47.4756
415,75,7.78627,0,6.10746,42.6197,7.05279
825,230,568.363,44,198.424,4.26212,21.1319
35,428,1265.6,799,2818.08,4922,9910.46
891,905,292.142,0,3.75811,8.9924,11.159
761,422,13.1206,388,1461.6,1.00176,53.856
864,930,1146.5,0,3.82659,2.62271,18.302
379,44,6.33253,0,2.94813,3.6915,9.66432
734,690,814.644,0,1.00187,3.40456,13.9747
769,640,454.022,0,5.33813,2.46293,17.499
647,234,7.11877,654,2312.72,1.14666,308.406
981,1023,568.544,0,5.58407,6.10961,18.6375
394,59,4.66489,0,3.31439,7.71954,13.7275
513,115,134.832,0,10.3875,1.73448,22.1125
749,743,589.433,0,7.1841,2.39778,16.8836
747,293,16.2876,336,1277.58,1.24357,106.724
874,916,454.134,0,1.32443,1.93237,27.4432
42,444,1243.65,808,2870.65,5059.11,9910.46
752,546,349.891,0,1.6585,1.00222,12.2152
480,88,61.6655,0,3.43666,2.53118,10.8677
424,70,9.84425,0,5.3402,3.25622,10.6743
875,847,411.426,0,6.68697,4.07742,18.1478
887,970,668.72,0,1.95024,1.50247,12.217
754,785,852.567,0,1.0024,1.02982,18.4785
747,267,15.859,305,1168.05,6.87059,267.201
826,878,543.809,0,3.96943,4.30412,12.44
817,817,860.361,0,6.11284,1.95052,15.5773
334,40,1.46273,0,12.0013,3.96971,9.84668
676,683,731.811,0,6.51055,3.62837,30.0386
408,94,8.52747,0,6.74928,2.2125,7.58646
41,531,1278.25,807,2846.25,5107.16,9910.46
502,101,167.425,0,3.31661,1.83182,15.4406
1023,952,36.6167,0,10.1178,10.6788,26.2511
452,64,4.79602,0,2.95083,7.58753,8.30162
38,469,1107.08,716,2555.4,4503.53,9910.46
918,887,534.302,0,1.58651,1.43706,13.8628
362,40,5.79373,0,5.15439,3.03186,5.58899
877,876,353.289,0,1.00289,2.44328,12.0055
689,759,544.058,0,6.17068,3.31743,5.01752
53,441,1.46335,0,1.98683,4.46399,10.5858
479,71,8.37869,0,4.50448,1.67478,13.0191
834,1023,564.048,0,6.17133,1.83246,11.2745
42,638,1325.64,862,3087.54,5249.06,9910.46
371,52,5.4907,0,3.34799,3.76327,18.4915
923,1023,564.108,0,2.84765,2.5563,7.45514
37,447,1290.48,831,2978.75,5156.02,9910.46
515,100,13.4989,0,10.7806,1.41198,8.30541
42,522,1302.23,823,2952.28,5202.97,9910.46
939,1019,564.187,0,2.53377,4.23081,13.4999
788,691,786.991,0,1.00332,5.54148,13.5003
