"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
863,307,79.8627,448,1654.82,1.43301,63.2093
724,336,10.3667,361,1357.78,1.33357,254.839
720,977,1567.99,32,24.1459,46.9792,38.1999
33,563,964.764,639,2287.82,3050.85,9910.46
779,883,1018.3,32,17.6261,9.30703,16.8509
407,90,10.0921,32,23.9322,9.82345,14.0771
406,58,6.09885,32,8.28058,1.96363,6.04424
814,806,264.23,1,33.9905,1.33385,25.9519
848,953,504.949,32,31.0678,13.5811,11.1429
795,969,2415.19,32,26.9045,1.33395,34.3
898,1023,1420.68,1,42.1845,10.847,20.1763
843,1023,1640.64,32,7.17195,3.16351,28.655
804,1009,112.451,5,44.1281,1.47283,25.9565
850,954,2526.64,32,1.33413,1.33413,26.4286
525,134,15.4069,32,25.9583,2.2479,15.8283
958,1023,286.59,32,37.5361,6.15591,17.7922
154,526,3.13573,32,11.6587,2.37271,15.27
806,928,216.869,32,17.011,3.22161,18.2801
456,90,403.408,32,1.33437,1.33437,1.25295
864,1016,478.607,4,46.1693,2.52717,23.3066
838,865,1176.57,32,2.1495,1.33446,19.646
471,65,12.8735,32,13.3451,6.04744,17.796
737,976,1513.65,4,41.8245,3.28067,23.9466
430,76,10.0985,32,16.5616,10.1898,16.2663
34,640,1056.34,726,2596.75,3431.82,9910.46
37,554,974.236,696,2505.07,3251.63,9910.46
854,963,552.823,4,44.1499,3.82322,15.978
38,602,1095.16,727,2741.03,3590.06,9910.46
413,68,11.4557,32,27.6589,2.9991,5.05305
928,1023,1460.52,32,2.89322,2.13093,23.5255
787,140,15.0052,32,12.9939,2.16969,13.8384
892,1023,264.454,32,27.6618,65.5966,13.5921
803,1023,305.397,27,113.548,1.46067,18.6218
519,121,13.1127,32,18.2904,4.74555,3.16596
39,664,1105.32,747,2668.71,3558.79,9910.46
839,785,299.984,11,67.4002,8.82772,10.5675
733,318,17.3314,490,1812.86,2.18975,302.705
787,1023,422.247,1,25.5162,5.58034,12.8808
478,85,17.1774,1,39.6496,7.30909,20.0154
482,108,13.3536,32,18.9645,6.27296,38.2497
534,96,12.4269,32,9.57374,7.0513,92.3541
972,1023,1076.16,32,6.21723,65.6197,8.143
804,925,1359.74,32,4.0375,2.25012,17.4917
975,1023,610.682,32,5.28828,4.03764,24.1808
929,1023,1613.26,1,35.9221,1.33559,44.5771
866,1023,957.542,1,41.4836,1.33564,23.7514
754,792,2020.19,32,5.94487,2.37522,15.4243
780,1013,1146.34,32,12.6556,1.11582,10.8612
339,44,4.70555,32,9.49069,10.6679,18.9705
949,456,22.9153,758,2743.16,1.33583,286.934
342,60,11.4646,32,8.99271,13.1206,8.67492
788,1012,89.9303,4,51.9547,6.05384,8.75361
979,1023,403.892,10,54.3465,2.41885,9.92865
376,72,7.11826,32,6.50596,1.33602,6.7443
968,1023,227.141,32,23.9736,8.83363,29.2194
610,246,30.5645,571,2076.1,11.1614,189.752
747,835,807.435,32,4.7494,4.79231,31.9716
805,932,271.936,32,4.41981,3.62632,23.7614
434,75,3.28483,32,15.8528,5.58447,21.1401
736,993,949.436,32,7.38059,36.9241,17.5021
581,1023,61.6568,4,51.0446,55.8486,8.75639
904,1023,279.413,3,40.767,3.19772,13.7294
962,1023,165.844,2,36.928,3.37515,24.8588
432,58,11.6781,32,2.50843,13.0091,17.3479
899,1023,337.539,7,44.209,9.75576,18.3104
1023,1023,407.728,9,65.6752,11.0653,30.3015
370,63,3.93333,32,16.291,2.07691,27.448
369,62,8.00515,32,16.1457,2.05838,27.2032
916,1023,146.253,2,31.6987,8.6027,31.9851
374,80,12.552,32,30.0344,7.86299,8.99873
502,78,39.3388,5,51.0626,2.76999,32.8622
356,50,8.68134,32,4.88188,15.7181,1.33686
607,168,56.377,32,29.2379,3.05828,8.68165
814,991,108.711,32,20.7742,1.6892,7.0595
822,998,314.215,32,9.67181,1.75114,14.3676
708,911,2134.39,32,13.1321,3.56393,9.75954
979,1023,264.873,32,26.9681,2.05903,13.986
779,932,426.663,7,60.5939,5.20023,10.3014
707,1023,69.3486,13,70.6074,44.6305,10.6792
