"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
48,497,1333.52,843,2969.31,5139.7,9910.46
905,1023,523.318,32,3.88919,1.33357,14.2023
865,1023,604.339,32,1.33362,3.05074,9.30638
909,1023,557.365,32,5.42527,4.45127,7.91559
796,822,276.355,32,6.09842,1.52635,11.446
625,75,4.29427,32,3.39881,1.67006,5.42565
797,285,22.6757,569,2035.57,1.3338,269.017
543,60,4.18024,32,3.46075,44.9212,3.42976
445,71,5.28176,32,9.06054,4.14295,7.36733
457,67,1.28681,32,4.33368,2.94366,16.703
1023,1023,673.408,32,17.3155,1.38286,20.3586
875,890,461.563,32,1.89458,2.22754,8.663
518,374,1.94646,32,5.47602,2.97057,5.47602
435,78,5.57562,32,12.1937,3.58828,7.23726
527,756,3.13551,32,16.4081,31.0743,19.466
377,75,4.91627,32,4.37376,12.7555,12.1946
383,60,5.62659,32,8.66453,4.0338,6.15613
754,653,429.609,32,4.14427,2.71553,1.33432
934,1023,514.296,32,14.7314,1.12475,21.301
534,33,1.33442,32,1.17653,7.37019,7.23879
922,1023,514.332,32,8.74405,4.45394,24.5998
886,920,378.832,32,5.62758,84.3535,14.4703
581,169,1.52732,32,5.38029,2.84094,4.91749
520,288,5.19034,32,1.43418,2.13048,9.65445
949,1023,313.662,32,2.74074,38.9235,18.1209
866,273,79.9331,490,1878.54,3.28101,90.6597
345,118,5.14441,32,5.94068,2.50516,9.48333
691,746,632.696,32,1.33479,65.5873,10.66
490,36,1.24216,32,5.67983,10.8539,6.38435
923,947,547.931,32,1.5415,1.33489,8.21309
209,638,6.15917,32,1.33493,9.31557,1.33493
857,773,523.872,32,2.22911,1.52781,22.4925
776,1023,55.7935,5,57.3195,77.8243,29.9953
461,80,5.88894,32,5.88894,2.84204,4.03621
419,94,12.4243,32,8.74837,352.692,2.71716
761,438,23.5304,451,1671.83,27.6657,79.2453
913,986,375.639,32,8.82803,4.33781,22.295
645,111,5.38314,32,5.43177,77.141,4.11006
886,847,411.02,32,4.92026,9.40239,13.4737
347,78,3.65677,32,3.22411,259.812,4.45692
854,1023,583.764,32,9.48801,2.59822,19.6599
344,59,2.03808,32,10.105,5.19364,4.18525
815,903,359.195,32,7.37617,4.83322,13.7203
831,832,510.141,32,2.15124,37.5731,29.7382
408,909,4.66276,32,3.08287,4.11107,12.6542
945,1023,505.608,32,8.07122,2.46215,18.9685
38,507,1372.22,873,3110.94,5288.84,9910.46
975,1023,346.563,32,2.46232,10.3835,23.5404
136,708,2250.6,1023,5337,7786.82,9910.46
196,460,1.02913,32,5.94549,8.00008,1.33583
919,1023,294.792,32,2.03873,4.92234,17.0308
784,813,505.715,32,1.1465,1.3121,11.0599
742,606,372.485,32,8.67554,3.22559,12.3208
597,120,15.9932,32,11.3632,4.49941,1.7977
810,251,276.843,11,66.8414,1.33606,29.2194
847,836,386.171,32,1.24335,1.09624,12.4335
423,78,7.31373,32,8.22091,2.15223,10.4807
36,541,1254.67,787,2793.74,4923.56,9910.46
880,374,13.0068,267,1020.24,2.3977,151.557
54,395,772.009,32,1750.21,2793.93,16.1412
38,474,1372.9,852,3029.61,5244.07,9910.46
810,1023,505.893,32,4.83646,5.89475,25.0825
878,832,446.053,32,27.4441,8.67859,15.5724
422,75,5.58545,32,9.2429,1.98536,2.55396
708,679,668.65,32,1.86428,8.75762,18.6428
806,795,346.783,32,6.33543,1.33658,4.00459
793,122,7.18587,32,8.75824,7.58432,108.684
414,59,2.64789,32,4.62475,4.79417,1.15751
855,942,488.136,32,4.54246,1.47574,20.5845
717,1023,82.9899,2,36.9371,53.4095,13.7333
909,940,488.171,32,3.34587,1.62933,10.1153
819,976,369.397,32,7.86354,1.33686,16.4411
333,79,2.04031,32,5.10662,454.31,1.13708
172,325,51.068,32,8.7604,1.33696,10.3
849,920,415.26,32,1.08715,2.1152,17.3546
931,1023,492.668,32,1.33705,2.72108,29.5052
910,132,379.567,32,1.91608,2.97728,9.75988
412,61,7.18865,32,6.5703,2.46492,1.42404
898,1004,488.308,32,7.86548,5.29481,9.58656
779,847,404.276,32,3.62913,8.08089,18.4856
702,158,11.1712,32,15.7231,4.66867,9.50139
731,795,544.02,32,4.75358,5.69044,15.4433
360,78,12.114,32,9.67453,1.88232,8.22844
635,75,5.95262,32,4.97259,64.5452,1.33743
338,60,2.97812,32,3.86566,4.1916,12.1148
36,635,1313.68,813,2898.93,5108.96,9910.46
392,89,1.63025,32,5.49032,3.34776,13.7415
40,446,1337.62,827,2951.76,5296.48,9910.46
675,35,5.79516,32,2.62613,9.67658,14.2459
914,1023,423.021,32,5.24943,1.33771,13.6199
922,1023,350.224,32,9.50473,116.892,4.79805
977,1023,467.048,5,43.073,6.87591,11.0754
673,67,1.75225,32,2.06019,72.5743,4.50559
881,854,554.129,32,4.3076,5.11039,16.0158
700,66,4.46556,32,5.74448,4.42557,6.3992
530,80,7.06496,32,15.4509,5.59175,9.59229
595,43,3.11642,32,2.72309,6.51582,9.33725
422,67,9.85534,32,3.59892,5.797,14.3792
782,178,5.90243,504,1866.51,1.33813,133.813
925,1023,400.938,32,9.76778,2.42285,5.3466
35,448,1302.6,828,2953.11,5157.84,9910.46
882,1023,463.029,32,5.25164,3.59942,8.9282
420,63,4.5479,32,4.23215,5.34716,17.2161
842,827,579.822,32,2.53466,3.06162,16.4596
427,222,3.69826,32,4.30927,1.69104,13.0278
958,1023,415.713,32,1.33846,1.54563,8.2351
772,749,423.274,32,1.33851,3.32011,18.8391
513,29,5.20572,32,1.7065,3.66553,1.33856
381,70,2.17565,32,6.17611,5.11309,1.3386
38,639,1303.01,820,2927.6,5159.47,9910.46
803,734,446.807,32,4.54918,2.95415,3.14613
786,798,408.388,32,10.2214,2.90159,14.9133
1023,82,9.42691,32,11.5935,7.32815,3.90442
883,906,431.063,32,2.65218,1.33884,11.1842
38,454,1350.98,855,3035.38,5397.75,9910.46
761,340,14.0052,311,1180.52,1.66153,153.233
411,223,5.11453,32,7.07018,7.52964,1.66159
486,77,7.13431,32,5.30208,3.00851,7.94744
804,751,484.617,32,13.5117,6.46247,23.1785
760,735,397.628,32,7.59847,3.32163,15.8869
899,1009,489.03,32,1.26881,1.67684,11.7015
904,966,427.324,32,2.77496,6.34793,10.6953
770,141,6.23497,32,7.53123,7.26509,16.7696
436,55,6.52201,32,3.60221,7.8074,6.0692
707,296,16.3243,459,1692.23,1.33936,242.498
559,243,3.06399,32,1.58902,4.71831,8.69785
452,53,7.00934,32,3.94164,8.02178,5.25626
45,544,1339.5,867,3064.2,5303.94,9910.46
549,29,1.33955,32,4.39119,1.91959,6.29263
796,753,370.151,32,3.17668,2.85166,11.3936
877,878,312.015,32,6.94755,8.69937,15.0581
836,779,549.901,32,2.95633,1.49238,20.4455
480,106,10.9921,32,11.7064,2.5833,7.73993
371,41,1.78663,32,1.33978,6.07133,11.4981
376,123,3.41428,32,4.4318,2.5147,5.02653
429,87,3.4144,32,5.70126,7.67144,9.01964
432,76,3.26436,32,9.69292,2.23736,9.52011
466,57,4.93743,32,9.02028,12.0287,12.6957
595,693,344.561,32,20.0859,3.83832,29.5706
839,899,439.289,32,8.09795,128.113,13.7672
926,1017,443.274,32,6.35217,3.38442,15.7563
388,34,1.34016,32,1.70854,54.5169,1.34016
1023,223,7.95442,32,6.46792,11.1956,15.7574
844,932,467.902,32,4.55445,74.693,15.9003
366,52,2.7772,32,3.41548,7.3364,9.52279
934,1023,377.082,2,38.0489,2.04555,11.9244
41,627,1389.5,867,3121.9,5259.96,9910.46
500,33,4.05244,32,3.90923,1.34044,1.34044
925,1023,463.794,32,2.67944,1.61918,31.2212
826,773,493.951,32,2.02752,5.21341,22.7901
960,1023,287.955,32,6.70675,1.0803,8.32265
769,829,565.338,32,9.87406,1.34063,8.02883
108,649,1836.72,1023,4277.89,6952.92,9910.46
935,947,540.515,32,1.01448,4.80869,16.1946
465,82,4.89614,32,5.75661,121.447,8.86475
962,1023,370.489,32,2.72875,5.60355,6.82968
903,1023,480.919,32,1.34086,1.34086,11.3023
951,1023,550.403,32,6.89187,3.9106,14.6711
