"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
880,951,99.1046,3,42.9351,47.8286,27.6316
760,567,897.719,32,5.4739,2.39288,25.7141
875,747,791.531,32,3.33786,1.24103,10.2742
39,647,1446.11,940,3368.14,5777.83,9910.46
869,755,697.929,32,31.913,1.1242,25.7168
932,900,828.029,32,1.33376,2.12913,19.2856
844,813,881.87,32,3.33833,3.02385,17.7866
745,502,736.707,32,1.33385,1.2082,9.5626
878,871,736.733,32,3.42988,1.06529,13.5811
829,709,736.759,32,18.6067,4.657,37.5281
443,55,6.5548,32,8.50826,4.14325,14.4647
848,903,673.432,32,6.79516,9.56395,38.9056
667,502,685.68,32,5.57542,1.43362,21.879
556,109,22.6813,32,28.9159,8.82088,96.5104
756,259,17.3179,379,1420.88,1.33418,310.743
861,827,898.162,32,2.33033,28.9179,12.6413
733,681,655.619,32,3.2506,1.03722,13.3427
45,420,1241.68,782,2840.44,4872.6,9910.46
830,653,757.15,32,1.20867,2.16877,24.5981
667,124,7.77886,32,9.56665,1.33442,31.644
712,1023,84.3505,5,49.6157,114.525,5.57699
501,102,7.17448,32,12.1972,3.85709,14.2123
800,602,583.394,32,4.65914,3.22218,19.4715
823,643,632.607,32,1.3346,108.52,29.9857
834,770,764.153,32,18.7847,2.26901,27.9049
819,684,567.923,32,33.7075,4.65963,28.4124
958,935,750.582,32,2.16938,1.12507,12.0901
653,56,6.38412,32,5.94089,6.10337,1.96509
760,930,92.3151,32,33.7111,44.9545,18.9571
827,626,724.135,32,1.33489,1.04707,32.5209
792,1023,128.776,8,59.4151,69.8569,35.5829
441,89,9.65717,32,6.55966,1.33498,5.43063
809,585,814.041,32,2.41715,1.33503,15.1418
871,733,785.302,32,1.67171,4.00007,22.9024
842,823,965.819,32,8.36365,1.06626,12.0935
493,99,13.3517,32,10.1028,2.4174,57.8435
761,727,764.476,32,19.8347,4.57834,24.3933
796,311,28.4244,703,2506.13,12.5378,231.126
839,1023,77.1438,5,48.3254,44.9703,9.57306
800,721,851.697,32,1.33536,1.33536,18.9645
