"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
736,87,17.7828,32,3.81972,3.19085,6.49382
893,952,956.058,32,1.33357,4.65569,19.4571
1000,1023,673.218,32,5.52355,8.58271,20.3528
792,713,1084.43,32,8.35451,3.82012,9.56125
40,534,1263.64,802,2890.67,5186.87,9910.46
561,139,13.0998,32,14.8577,11.1417,8.81839
782,760,791.643,32,10.8455,1.54025,24.5876
94,335,11.5507,32,12.082,9.06021,41.4281
759,755,889.9,32,2.9172,1.3339,29.7015
881,945,947.764,32,8.35628,1.56838,20.7274
39,481,1286.85,784,2814.31,5004.63,9910.46
147,349,1.81126,32,4.5743,5.05003,1.03704
936,1005,756.99,32,1.3583,1.33409,21.1058
1023,957,1018.62,32,2.89159,1.82775,21.6839
717,761,750.265,32,5.14224,2.1298,22.0782
816,840,898.162,32,1.33423,2.37263,9.47965
32,513,1264.18,812,2891.9,4916.45,9910.46
452,78,2.01812,32,6.04659,9.48032,14.9983
803,275,37.2039,554,2018.2,4.87277,297.12
516,167,15.9741,32,17.4775,3.22184,14.7319
642,208,621.263,3,44.5394,8.35952,8.66576
831,921,638.277,32,18.9525,89.8353,43.7468
743,289,35.8942,386,1434.13,88.2368,274.055
39,475,1253.17,790,2841.04,4743.88,9910.46
732,1023,63.8345,32,31.0853,51.4405,11.7674
23,388,9.31393,32,8.43654,6.10294,10.6593
452,82,8.90465,32,13.3475,6.27008,11.4549
853,859,799.388,32,10.5646,2.43855,14.2153
443,66,8.2128,32,8.2128,5.43005,24.3864
541,112,3.40169,32,11.8758,3.02631,32.5209
363,63,6.27097,32,4.96332,8.74714,10.101
40,491,1287.8,816,2893.43,5053.59,9910.46
529,95,18.455,32,14.8719,2.15041,15.0062
1023,956,1028.55,32,1.35931,1.78035,8.51516
767,754,1085.62,32,6.27185,1.2313,21.6999
422,86,9.15111,32,7.5082,8.67034,26.4491
937,896,771.383,32,1.39663,1.12547,24.1749
40,634,1384.18,836,2973.19,5383.14,9910.46
412,112,59.4319,32,11.4598,3.28252,11.6678
448,103,11.2559,32,7.71465,13.9678,24.1774
798,1023,940.305,32,3.05483,1.448,18.7953
899,750,692.583,22,107.616,1.58433,34.962
431,535,470.455,32,16.4243,3.79113,44.9766
767,791,524.093,32,1.79707,1.0666,31.6708
481,99,12.4286,32,7.85607,2.46206,4.70488
35,561,1323.68,839,2974.03,5241.3,9910.46
905,653,844.279,29,135.993,6.56313,41.1136
868,1023,891.125,32,1.13608,2.02026,6.27473
44,653,1300.22,821,2947.71,5056.62,9910.46
423,72,11.5678,32,8.44368,4.379,4.53942
747,649,883.239,32,1.34794,5.28959,8.21917
438,110,14.2274,32,13.121,5.01187,24.1876
853,782,699.111,32,5.78782,3.6915,38.613
1023,155,538.617,32,2.71898,5.05751,12.1016
456,83,8.67615,32,17.0332,2.97497,22.3092
447,98,6.39042,32,4.45943,4.30184,6.50642
884,935,859.906,32,7.85939,1.33616,14.6191
793,895,975.336,32,4.62312,1.3362,21.7175
697,72,8.44636,32,7.05577,61.6525,4.5002
821,742,724.901,32,2.15246,5.78925,17.8198
396,67,13.3635,32,9.32543,62.776,16.5832
777,1023,966.738,32,1.59978,1.03886,21.9168
499,93,20.3959,32,13.854,5.89496,10.6732
888,1023,829.723,32,3.56243,8.07634,30.028
620,221,548.607,3,39.6859,5.43694,13.6079
47,659,1324.61,837,3030.15,5105.36,9910.46
513,116,114.711,32,11.0657,5.15167,8.37308
901,1023,916.143,32,2.23194,109.67,23.137
414,73,6.22314,32,4.26528,11.6801,6.62756
839,811,883.83,32,2.33477,4.30397,10.1149
395,52,7.58539,32,9.1624,6.62802,8.29928
45,637,1361.13,845,2976.76,5293.5,9910.46
913,1023,807.89,32,11.068,5.58722,26.4836
811,797,645.225,32,1.79897,1.33696,12.2195
643,1023,97.592,32,20.4045,42.6618,18.9879
794,912,1030.07,32,1.1683,1.89885,17.3552
973,1016,725.335,32,2.82086,123.312,44.2277
917,1023,892.067,32,3.59638,6.05939,15.4411
891,881,845.231,32,30.5893,1.33719,41.16
130,664,2153.97,1023,4971.89,7587.79,9910.46
917,959,595.199,32,15.1674,7.45278,27.7096
35,538,1337.33,858,3086.89,5295.37,9910.46
530,124,82.2844,32,10.4903,76.5716,23.7824
36,499,1301.82,796,2821.56,4928.07,9910.46
876,897,837.839,32,4.00727,4.75408,16.7472
929,793,732.12,32,3.34764,3.50163,17.0518
743,641,732.146,32,1.33757,1.93407,15.8685
854,774,876.471,32,3.14358,1.79986,20.2311
369,106,11.7939,32,9.58993,2.74692,11.5837
408,69,9.41929,32,5.79536,6.69238,4.38518
951,1023,772.852,32,1.33776,4.42495,33.1825
519,120,11.7952,32,11.0754,1.3378,12.0093
965,1013,779.889,32,4.62882,57.9598,22.7445
875,801,657.4,32,1.3379,1.3379,14.5071
369,79,11.5861,32,9.33659,6.11779,15.1749
824,786,687.688,32,6.22906,1.33799,21.5519
756,762,759.233,32,5.74489,1.04015,19.8767
702,805,1290.8,32,1.80049,2.55702,6.17372
721,327,52.5109,594,2136.11,1.16925,274.789
678,261,11.4844,388,1464.12,1.39974,114.844
828,721,900.855,32,1.39978,4.97557,22.5472
42,490,1245.36,785,2848.85,4931.19,9910.46
796,774,816.05,32,2.79816,1.93516,22.7525
851,797,700.367,32,1.35046,1.24545,26.2751
764,1023,623.103,32,5.7465,52.522,8.76996
918,1023,1049.88,32,4.38764,1.33846,13.3846
729,582,739.28,32,1.33851,1.33851,18.6704
844,781,713.181,32,4.1202,1.46453,23.8033
499,110,7.26151,32,13.386,3.08982,7.13206
891,1023,688.026,32,5.85184,2.84966,14.7787
728,117,9.2582,32,13.2671,1.3387,21.9547
674,624,713.281,32,1.33875,1.67631,19.5326
751,789,838.665,32,1.33879,37.3272,12.6846
460,96,5.0682,32,10.2221,1.33884,4.67409
793,872,925.95,32,5.59548,1.33889,16.9163
578,174,16.7655,32,9.86158,8.16423,3.90484
537,113,3.11862,32,18.1797,2.85036,9.34382
430,105,6.94438,32,4.63289,13.6333,10.5032
779,702,694.462,32,10.6942,1.33908,17.5385
36,526,1303.47,813,2928.63,5069.27,9910.46
34,483,1315.29,813,2928.73,5115.25,9910.46
489,90,6.69992,32,11.4933,7.33047,23.6018
495,94,20.6237,32,11.9147,13.6357,7.80712
37,669,1315.43,826,2955.5,5255.71,9910.46
35,634,1303.7,796,2851.16,4803.79,9910.46
561,94,9.60242,32,7.26586,3.76817,27.505
808,859,739.8,32,7.46484,5.07051,10.3192
40,497,1351.6,816,2877.22,4980.29,9910.46
849,775,1339.55,32,3.17656,1.33955,15.6086
432,84,9.09922,32,15.0575,89.37,15.7502
807,934,629.308,32,1.78644,5.02582,8.02291
398,139,9.51844,32,3.53898,8.3171,19.5464
794,333,19.547,375,1414.02,3.38347,332.315
434,84,8.1694,32,5.07176,13.3978,21.9724
544,147,11.6024,32,9.43421,3.94275,4.89271
909,1023,1070.06,32,7.26841,2.56044,30.6506
755,407,69.4902,687,2447.93,2.34028,93.5039
884,754,878.013,32,1.12947,8.70151,21.5837
665,653,1041.68,32,10.4168,23.1948,35.0816
430,77,8.24495,32,5.70206,6.18284,11.6045
885,957,652.59,32,1.34011,4.39304,24.0462
421,84,5.07319,32,15.2,9.78221,7.74238
37,476,1292.84,813,2930.99,5165.46,9910.46
842,973,1340.25,32,2.10135,8.17227,15.7579
883,972,978.324,32,6.12855,1.3403,22.1795
913,943,935.334,32,7.53732,1.75551,10.9971
907,1012,658.625,32,1.34039,1.66334,23.8359
41,695,1402.1,854,3066.35,5502.1,9910.46
420,58,6.02014,32,11.2991,4.16342,6.12941
526,76,5.45322,32,4.23914,1.60473,8.47343
727,314,29.8503,377,1414.92,1.34058,408.948
368,168,6.70698,32,4.27774,19.3849,15.6212
850,937,795.721,32,5.60296,3.90991,19.04
1013,1023,740.502,32,1.69395,5.60315,23.8418
854,846,862.875,32,1.9387,2.47161,45.9738
773,421,46.8099,803,2880.05,2.7534,298.556
493,92,8.32441,32,9.78737,3.26666,9.69973
37,677,1328.9,721,2959.03,5357.5,9910.46
779,753,817.657,32,6.70863,55.0423,37.3876
421,74,4.51621,32,10.7096,1.341,22.3917
820,1023,767.818,32,2.70479,41.2788,28.292
905,901,1023.94,32,4.59851,4.16532,22.3932
838,1023,591.572,32,2.40648,3.91129,23.8493
742,178,11.6143,6,58.6295,2.38502,216.034
32,496,1293.84,802,2855.17,4897.86,9910.46
793,720,803.277,32,2.63324,1.46752,24.0673
732,840,781.919,32,11.3062,1.02412,16.4961
508,114,17.5687,32,21.6065,16.2026,12.5953
762,766,810.62,32,3.94746,3.44924,15.7718
493,109,55.561,2,27.3009,1.66469,27.7964
746,304,35.7585,578,2103.34,1.75706,122.613
634,830,481.172,32,2.32217,134.157,37.0697
527,97,16.2054,32,9.97062,9.61827,15.9165
603,530,447.797,32,4.81206,5.31251,4.35875
508,90,14.1611,32,16.952,6.47519,6.13501
825,327,19.7534,338,1282.75,1.12085,232.25
62,580,1521.87,961,3512.84,5972.1,9910.46
816,957,677.376,32,1.34185,62.4703,11.62
731,320,12.3755,350,1329.88,1.3419,270.65
824,907,768.33,32,1.27144,4.28195,25.1868
924,1023,1033.88,32,4.94489,1.34199,13.787
831,954,581.412,32,1.34204,2.54161,30.1528
783,698,855.989,32,1.34209,2.18131,12.6019
716,643,887.378,32,1.34213,10.1555,12.0482
874,1023,789.482,32,30.156,2.47421,23.8677
840,921,503.553,32,12.7171,4.77098,8.95458
833,884,1081.66,32,5.55942,2.30259,35.7786
868,866,920.014,32,1.92356,1.34232,24.5231
852,720,665.556,32,5.08156,1.09151,27.0744
843,873,775.543,32,1.20507,8.40935,15.502
892,949,911.872,32,1.35459,5.17416,16.6591
497,87,4.32245,32,11.3162,8.95646,12.7198
45,475,1272.02,779,2857.97,4858.77,9910.46
577,148,11.6265,32,16.5117,64.7951,5.31624
33,487,1306.91,812,2910.05,4992.02,9910.46
921,1023,988.931,32,7.55055,3.4837,20.308
770,867,94.5475,1,27.082,30.9938,18.3955
772,349,26.1259,585,2124.36,1.34279,268.405
949,1006,721.927,32,3.01708,96.2705,27.3286
660,166,709.081,32,5.12945,7.82825,15.9316
887,1007,904.024,32,5.87056,1.05338,11.6293
483,90,22.0249,32,12.9552,11.3201,19.2451
800,359,299.048,501,1839.94,1.34303,121.651
872,891,920.53,32,3.51616,2.54357,11.5264
433,91,3.42267,3,15.0972,7.22078,13.5526
879,776,856.679,32,3.8129,1.34317,21.6353
895,1023,819.035,32,1.80739,3.04519,17.9121
783,754,849.068,32,8.04461,2.83387,19.0768
896,943,783.072,32,10.9228,2.5902,23.4619
160,679,2410.45,1023,5767.72,7973.14,9910.46
863,942,929.075,32,1.34341,5.41596,29.6454
503,115,9.37502,32,10.35,2.85988,23.0461
868,882,722.281,32,12.7292,1.3435,33.3249
775,747,762.358,32,1.41805,5.17833,24.1079
703,739,660.198,32,3.77995,2.63777,7.42088
1023,855,811.957,32,3.45493,8.49306,42.8735
574,143,78.3291,1,10.635,5.32052,11.6359
859,921,735.52,32,1.34373,1.34373,19.4299
905,864,728.96,32,1.34378,1.36817,20.508
468,137,301.93,32,24.5506,49.5165,50.8708
37,566,1393.11,852,3074.21,5273.62,9910.46
839,926,880.604,32,2.20403,1.34392,17.761
814,342,32.1585,718,2545.27,20.5108,315.852
869,993,1153.45,32,1.34402,4.44566,22.442
744,864,722.585,32,8.88653,2.10733,33.944
914,1023,495.269,32,1.34411,128.5,5.98236
404,112,12.0663,32,11.33,1.76051,21.6512
1003,926,904.879,32,1.34421,5.66847,26.6281
467,109,2.16527,32,12.9675,6.97147,32.7491
725,1023,121.766,32,26.8706,45.273,21.8491
846,938,842.144,32,1.34435,2.07019,29.1373
888,944,776.685,32,5.41995,1.34439,16.2389
914,866,783.73,32,1.34444,7.09901,10.4512
1011,1023,697.269,32,1.20693,2.30638,25.6925
916,964,1045.19,32,1.14356,10.7378,25.6934
389,84,6.54768,32,6.48905,2.59265,25.0103
976,1023,769.865,32,4.44768,5.1361,16.686
842,895,972.731,32,4.95477,1.48452,29.4077
803,991,929.986,32,4.77985,1.07393,23.2763
802,990,921.691,32,4.73721,44.4815,15.9539
1023,199,9.1347,338,1332.78,2.91475,352.072
820,967,938.487,32,12.4029,3.61714,6.97464
541,111,13.0911,32,15.8127,6.04,4.52936
971,976,798.263,32,10.5497,4.02969,27.3717
559,137,14.0687,32,10.6454,5.93274,17.7753
829,977,763.212,32,4.8678,8.50199,14.7164
847,758,820.183,32,31.3287,2.39196,9.9965
513,118,13.8194,32,2.14731,4.44939,15.6739
658,262,39.2309,572,2128.16,2.3076,333.669
348,62,11.137,32,4.95685,13.3319,11.0373
868,1023,858.03,32,2.1283,1.34529,35.2196
347,380,45.7173,12,63.7693,71.0373,24.3581
468,85,12.1864,32,7.36422,3.92364,20.1663
852,290,14.2003,319,1229.7,1.44581,273.813
870,1023,1018.08,32,9.05734,42.1667,17.4645
877,778,842.881,32,9.64628,2.57123,22.0666
887,1023,1124.04,32,17.4658,6.61169,13.8237
684,127,4.82624,32,12.2987,1.99893,77.7393
36,686,1309.84,835,2969.52,5186.5,9910.46
877,861,723.471,32,6.73242,4.17965,44.9148
501,102,5.67502,32,5.42546,1.20807,222.699
820,820,905.958,32,1.40771,2.61846,19.4598
849,1014,756.83,32,1.3338,8.43089,17.7866
64,566,1333.85,793,2814.01,5094.93,9910.46
901,1023,1046.29,32,2.20736,5.625,26.4239
44,548,1333.95,828,2970.26,5141.33,9910.46
661,299,10.847,260,1333.99,4.33383,245.911
520,182,7.04409,32,16.1139,1.16567,80.6155
52,533,1322.14,818,2891.49,5095.83,9910.46
849,1023,736.863,32,1.33413,1.54063,14.9962
851,905,866.392,7,55.7581,4.53382,22.2777
35,519,1252.81,787,2814.81,4872.25,9910.46
920,846,385.641,1,42.5747,3.19265,19.8208
370,68,5.72892,32,2.66711,7.50344,5.33118
822,897,685.825,32,6.79684,5.72913,21.1103
739,166,17.321,32,20.365,11.9789,17.6354
869,837,843.505,32,17.9561,3.55703,9.22891
837,1023,685.898,32,1.33451,1.13504,1.33451
919,969,821.107,32,1.33456,3.78845,27.9029
496,93,6.55781,32,9.82969,1.3346,12.8744
824,1023,1334.65,32,3.52568,2.3102,14.2138
39,505,1310.9,802,2892.81,4962.44,9910.46
530,73,9.23086,32,3.55778,2.14996,23.3123
986,1023,771.139,32,2.48282,7.30626,27.6579
961,691,813.927,32,140.886,3.194,53.3324
890,830,874.683,3,3.89303,1.7801,15.0046
33,496,1287.76,803,2841.74,5053.41,9910.46
40,516,1299.44,834,2999.42,5382,9910.46
550,119,5.09943,32,11.6653,6.8002,14.0905
39,641,1276.36,792,2791.37,4919.4,9910.46
876,1023,948.6,32,20.9331,2.43916,17.3301
479,117,91.5111,32,6.16025,2.99984,14.6083
40,562,1335.22,819,2946.47,5054.48,9910.46
1023,869,792.509,33,142.204,4.11006,84.4011
1023,754,771.438,32,3.6239,5.48104,4.87621
771,925,650.276,32,5.00975,1.33536,26.6918
797,753,1125.63,32,1.3354,43.3842,21.5102
