"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
756,865,753.203,0,1.60338,1.18093,25.1391
47,546,1363.76,855,3064.09,5400.02,9910.46
792,826,520.938,0,1.7544,2.87722,7.26637
432,103,5.64882,0,11.3932,195.443,17.5447
907,665,360.297,0,4.04987,4.31306,14.6567
441,74,30.0989,0,8.31681,2.00803,7.20206
800,728,540.097,0,6.52384,4.51177,9.77878
765,724,498.117,0,2.82642,4.23661,11.8122
726,651,383.765,0,1.00469,2.42575,8.31769
826,726,502.652,0,1.00473,2.58348,9.77981
452,613,1269.48,163,2878.03,5072.12,746.721
812,776,484.924,0,1.5613,2.70251,16.6276
433,79,3.01063,0,3.44549,2.40437,1.24694
862,803,480.615,0,4.84958,1.34002,9.78118
477,88,3.44573,0,12.3586,4.55381,6.12748
799,261,223.767,163,623.892,1.36444,24.2635
47,645,1292.8,811,2930.89,5165.27,9910.46
481,130,5.80617,0,8.09881,208.246,13.5231
760,658,493.847,0,2.31989,1.00505,10.4186
908,1023,555.123,0,1.00508,5.60138,15.4775
773,688,565.219,0,1.00512,1.69348,13.2834
762,786,398.005,0,5.55162,4.27699,21.3972
39,591,1389.54,879,3150.22,5452.83,9910.46
1023,838,747.061,0,1.00522,6.58671,7.07814
806,303,16.7855,589,2120.78,1.00526,219.848
476,84,5.50268,0,6.89018,1.34058,20.8305
824,780,624.133,0,1.44065,3.09449,15.3427
895,946,545.379,0,4.8958,103.286,9.35564
765,520,641.248,0,1.0054,4.94021,19.3863
769,557,405.343,0,4.35585,1.00544,15.2069
879,823,545.437,0,6.89139,2.93233,19.2141
761,662,412.73,0,11.4044,1.00551,9.4415
26,432,5.30953,0,7.08037,2.40606,15.0724
455,145,10.1466,0,9.52747,150.729,3.87572
821,786,516.854,0,6.13178,4.01784,17.4065
38,467,1293.66,818,2932.85,5122.44,9910.46
556,135,121.476,0,9.2748,6.0773,4.94159
950,1023,384.156,0,1.00572,84.7729,28.8076
827,541,401.841,0,4.39659,4.12831,20.84
790,686,363.999,0,2.36374,1.46747,3.98256
373,119,4.68264,0,8.78877,290.71,2.80436
932,896,659.088,0,6.53186,3.09612,19.2215
763,949,84.0286,0,25.6332,36.4037,21.9986
787,755,357.56,0,5.12388,5.21688,17.8882
40,582,1237.16,791,2855.67,4987.64,9910.46
437,207,6.5918,0,2.26027,4.2806,7.3431
916,854,464.168,0,9.27805,1.67985,10.5231
464,126,15.2165,0,9.61827,6.24593,6.59226
807,796,597.147,0,3.23934,2.1611,15.3546
39,479,1305.99,837,2987.55,5409.13,9910.46
846,853,420.502,0,2.40758,5.8129,15.7756
994,1023,521.835,0,3.01475,7.82194,11.7245
871,954,490.01,0,1.00625,4.0567,8.03615
766,694,591.904,0,2.02959,3.98452,21.6148
840,550,490.044,0,2.01148,6.59388,6.47633
789,600,370.814,0,1.00635,4.72743,1.00635
892,918,485.69,0,7.15036,2.04814,17.4199
36,471,1318.16,810,2908.83,5080.49,9910.46
854,777,490.113,0,6.30479,3.07023,8.95395
50,622,1366.54,893,3182.81,5362.58,9910.46
805,719,741.334,0,1.00653,1.69586,24.5214
757,1023,97.9767,0,20.6701,35.1407,14.9526
874,884,464.429,0,1.0066,7.02436,14.1675
534,92,10.9151,0,11.9424,1.92363,10.8174
944,813,566.092,0,9.20078,39.5037,23.8719
752,537,586.851,0,1.00671,1.00671,18.8947
810,750,761.77,0,2.68348,1.71154,7.6177
709,160,4.09551,0,12.052,2.78189,83.3493
37,460,1306.86,829,2989.54,5221.46,9910.46
816,764,677.78,0,2.24192,1.00685,10.1594
487,121,8.95772,0,14.1715,3.9869,17.4285
476,100,13.07,0,3.77757,1.34275,2.96308
721,645,420.826,0,1.00695,6.36488,17.2736
897,663,448.19,0,5.08334,2.78247,13.6721
713,195,16.6644,384,1456.12,4.24658,204.943
991,1023,381.224,0,4.48221,4.09666,7.35082
728,581,696.488,0,1.00709,1.71214,4.06012
909,943,512.999,0,3.8125,3.04477,14.827
384,74,5.41464,0,8.88,2.45369,11.7356
789,779,503.888,0,1.30737,1.19491,12.3868
879,864,402.433,0,1.00724,8.26406,13.3114
882,821,301.793,0,2.4102,10.8242,23.4603
728,664,561.378,0,1.16322,5.41539,9.80489
46,504,1405.1,872,3156.97,5464.51,9910.46
776,732,608.754,0,19.777,1.05371,9.89417
919,843,301.835,0,7.62278,2.61378,22.4318
945,850,614.297,0,3.54893,3.54893,25.4429
877,936,358.112,0,5.22494,3.15741,25.9056
393,66,7.22306,0,6.19891,3.30276,85.692
696,602,364.638,0,1.17402,12.5031,9.80729
770,186,8.64723,0,14.3096,7.83264,59.2672
840,718,301.898,0,2.52195,2.43282,22.0365
432,109,11.3265,0,4.21121,5.41729,25.2203
980,1014,551.582,0,5.71788,206.932,18.0815
887,805,571.808,0,4.3267,6.14469,19.4312
565,160,159.433,0,1.00776,3.84938,4.24971
498,107,7.83428,0,9.3783,2.68631,158.011
746,261,32.1585,708,2545.27,6.37046,210.718
43,445,1284.91,807,2913.01,5180.15,9910.46
766,672,537.01,0,4.13715,3.84992,17.4462
912,1023,582.309,0,1.00794,2.86128,19.2613
35,527,1320.19,833,2993,5180.69,9910.46
689,388,313.078,0,2.05144,1.2967,15.2459
761,637,413.773,0,1.00805,2.36905,2.50041
835,234,368.126,18,99.9056,17.293,22.4467
867,1023,546.873,0,6.66536,1.74499,14.4464
565,116,112.306,0,5.37142,1.00815,8.88871
710,576,378.234,0,1.20689,2.81096,8.73055
41,446,1251.14,792,2862.08,5089.58,9910.46
740,235,19.2673,784,2862.18,1.69877,313.155
772,278,21.4641,643,2327.39,1.0174,243.444
1001,1023,522.933,0,6.72699,9.81485,16.3885
870,797,561.968,0,6.14857,1.00836,30.7604
478,82,6.09372,0,4.02898,3.30566,14.8457
721,647,333.564,0,3.68254,7.76903,15.1157
743,592,177.728,0,3.74952,5.62027,15.8116
846,838,523.025,0,1.10342,1.08375,17.6143
509,196,12.1822,0,17.4572,324.718,9.81691
39,598,1240.37,793,2837.45,4823.88,9910.46
707,253,29.1515,506,1859.3,5.18396,111.351
859,871,518.414,0,1.00865,7.10224,15.9572
885,905,577.52,0,3.99402,1.00868,10.2699
845,365,19.4503,496,1826.34,1.00872,165.43
43,444,1186.03,763,2762.39,4738.71,9910.46
800,712,643.409,0,2.18644,1.00879,14.4561
758,538,626.302,0,1.27461,1.00882,24.7993
865,965,609.65,0,2.61754,1.69978,14.5877
770,715,716.817,0,2.81292,1.00889,4.73937
42,539,1345.43,868,3133.63,5424.12,9910.46
865,892,509.332,0,1.1547,2.20658,20.35
956,914,716.892,0,2.26701,1.53987,18.4336
751,980,62.6434,0,22.4679,30.7809,15.5384
789,514,388.919,0,5.09385,5.67442,7.43206
788,569,417.95,0,1.84355,8.20527,2.76336
37,508,1309.89,826,2969.63,5094.21,9910.46
43,479,1321.77,849,2996.57,5233.73,9910.46
416,73,4.74087,0,8.50676,1.00018,15.5411
432,59,4.78387,0,3.19152,8.50706,3.05117
894,906,437.252,0,4.69875,2.28814,10.6525
919,930,588.375,0,5.57463,3.89015,18.1107
554,127,125.255,0,2.52628,2.97026,17.3149
363,145,2.69055,0,2.73939,3.30891,4.49259
855,324,8.13439,328,1241.42,1.96398,139.54
523,123,7.30239,0,14.7283,2.33008,24.3726
493,135,11.8691,0,15.1317,2.91772,15.1317
873,660,336.944,0,5.8323,1.25277,12.085
824,651,537.896,0,1.00053,1.00053,21.6854
458,88,5.99224,0,8.98194,3.99768,1.87794
836,756,487.26,0,2.13003,7.23828,14.2103
44,459,1165.96,750,2667.21,4829.14,9910.46
496,98,9.06405,0,3.85681,3.22184,1.00067
473,99,10.8508,0,11.3499,1.07537,11.3499
817,712,599.329,0,1.00074,3.96258,17.4787
42,497,1358.78,848,3025.56,5332.12,9910.46
881,823,679.804,0,2.43821,1.5137,25.7341
870,672,604.808,0,1.7324,1.11492,6.92168
800,271,6.49955,314,1208.97,1.04692,108.527
887,1023,567.943,0,8.28642,4.57672,21.8898
545,100,5.09853,0,2.71649,9.23118,10.3762
856,666,523.816,0,2.3314,58.3518,14.7366
572,128,132.293,0,7.24135,5.73135,10.284
730,209,15.4156,0,26.2077,667.849,6.73883
476,100,8.36277,0,7.57497,8.43832,9.5707
822,903,340.205,0,3.6889,4.33719,16.8676
824,861,457.785,0,1.89605,4.96384,4.00007
867,770,578.415,0,11.5617,3.43303,15.0073
784,759,483.203,0,2.07464,2.48352,20.0132
732,559,449.671,0,1.00127,2.69302,15.2808
942,1023,308.211,0,8.28964,13.1146,18.9632
811,758,411.02,0,2.9733,1.00134,18.1299
798,879,441.701,0,2.37464,2.6216,16.7207
39,457,1242.69,812,2894.34,5055.19,9910.46
781,607,422.307,0,1.00145,1.00145,15.011
39,452,1265.34,808,2868.63,5055.55,9910.46
763,760,538.428,0,3.2831,1.00152,22.502
822,696,389.509,0,1.48781,5.43311,11.5658
559,135,5.89143,0,13.9708,60.5256,22.3021
782,781,422.381,0,2.03844,1.76522,18.9692
41,504,1323.77,867,3111.05,5289.03,9910.46
992,1023,470.555,0,1.70296,2.057,10.5724
828,866,538.542,0,8.67462,4.66358,2.62252
684,162,259.913,0,3.89591,47.913,8.83239
879,885,393.125,0,8.44427,116.731,16.7277
879,1010,487.861,0,8.83301,6.10875,16.8795
865,866,514.931,0,3.37408,3.69163,13.9747
747,975,65.6498,1,31.9693,28.1868,27.1907
779,683,474.923,0,2.4191,3.11193,10.2935
910,1023,346.673,0,2.59968,8.37014,23.337
847,944,466.489,0,5.15004,4.87947,21.9137
38,467,1289.03,842,3029.4,5150.22,9910.46
878,994,594.759,0,1.00208,6.16547,10.7685
460,93,3.4054,0,5.05876,3.82781,1.00212
147,855,2133.33,1023,5013.64,7651.5,9910.46
827,746,558.526,0,9.66772,1.39791,5.68664
837,392,10.6735,487,1798.34,1.00222,49.246
864,868,645.021,0,1.12658,4.62426,28.4515
866,976,589.558,0,3.16953,4.00459,29.4948
489,129,8.37308,0,12.6641,1.08684,7.05776
865,799,430.366,0,4.92529,6.56798,7.93347
932,1010,589.62,0,12.665,2.69605,16.7378
